,null_deg,sixty_deg,ninety_deg,straight_angle,twofourty_deg,labels
0,0.042606617821617065,0.514403686209933,0.2372352253381373,0.10372690500730651,0.05717054198422976,R
1,0.4670518247150899,0.5878446866502918,0.44769144354908297,0.9337349542432065,0.6661475069149946,M
2,0.5873079704291696,0.7012160767976711,0.476547242321343,0.5194037233987554,0.6165376481409977,M
3,0.24510570276260812,0.26214463053815823,0.44828759695140924,0.44925193448219514,0.4571814738572594,R
4,0.3404552268027423,0.16762379755407858,0.5411290643630948,0.37956375374762336,0.5126975334221967,R
5,0.40950122349619333,0.10634691677672733,0.04394671962531325,0.5623103115352328,0.4936334224065378,R
6,0.41899571990348417,0.2257489775836241,0.1990712976420468,0.17204829564730958,0.3376208441870937,R
7,0.20793246445746938,0.0451982213933678,0.000880206602978808,0.3455414848173849,0.1571955627706035,R
8,0.4463722947985524,0.1459738570507903,0.5227808481038534,0.07274685657257243,0.4847428206992866,R
9,0.2784995385997134,0.11466459960840412,0.4893550059322627,0.28349676790223466,0.28052952474629517,R
10,0.24541668642999986,0.30626970704739764,0.5184699782977298,0.18471859825931994,0.45204677555103356,R
11,0.28999948592075214,0.4338386008256499,0.08218455604910549,0.42154871509638014,0.5205379095905499,R
12,0.403532326823305,0.08699848967123029,0.38604422528811105,0.013461453899232801,0.09401556136544979,R
13,0.507530863653459,0.2768156196298935,0.33378083527969443,0.25432396563950077,0.5306534336663642,R
14,0.6756305920576453,0.5023670440308794,0.43705425584246826,0.7662151471215413,0.7399021930645289,M
15,0.8104143575885707,0.891769201659345,0.43001280800886776,0.8835197781182959,0.8101022753020659,M
16,0.16098657716288545,0.20614330041091747,0.3650339727831096,0.03136132734948926,0.1580158701601807,R
17,0.5606857818601375,0.5643723064868097,0.10056698790601626,0.17948511751100418,0.24948951440071215,R
18,0.25574155144037397,0.019214940846794704,0.1957192709393584,0.5306531153640571,0.5665581319724026,R
19,7.706682772576245e-05,0.4721022540106382,0.37031565838742647,0.04199218874285808,0.4123314458010689,R
20,0.9193915608969943,0.5907423757165533,0.9079907663965968,0.7197965581814367,0.8476940314994752,M
21,0.8366948733694608,0.768111131374187,0.863320273415018,0.9121872320116076,0.5065137763329653,M
22,0.4388218937974813,0.8709853702793896,0.6258574845266831,0.48931862128879733,0.9103609516829555,M
23,0.777315967646633,0.766262570544564,0.8478544335633886,0.8311962931363954,0.4272003076402132,M
